家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先
4.3,99146919,2022年12月05日,2022年12月19日,福岡市東区松崎４丁目6-34  mapを見る,プレゾンマツザキ  301,西日本鉄道貝塚線西鉄千早駅 徒歩12分 駅までmap 鹿児島本線千早駅 徒歩12分 駅までmap 西日本鉄道貝塚線名島駅 徒歩15分 駅までmap ,30㎡ / 約9.08坪,,2DK,ＤＫ4.5／洋4.5／和6, 南,,,,空無,,　,,,無,無,実費,無,,無,3000円,無,"有 全保連株式会社（更新有り：10,000円／年）※契約者や条件によっては、内容が変更になる場合があります。",総額賃料等の50％,有、15000円、2年、あいおいニッセイ同和損害保険（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,町内会費：600円 / 月,,2年,,,,鉄骨造,,,地上3階建,3階部分,1986[S61]年1月,空家,即時　,都市ガス　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ガスコンロ設置可　 洗濯機置場　 バルコニー　 駐輪場　,ペット不可　 日当り良好　 閑静住宅街　,"退去時清掃費：30,000円（税別）",貸主,,"
"
5.9,99263274,2022年12月05日,2022年12月19日,福岡市中央区長浜１丁目3-20  mapを見る,アンピールメゾン天神北  1007,福岡市空港線天神駅 徒歩10分 駅までmap 西鉄天神大牟田線西鉄福岡（天神）駅 徒歩13分 駅までmap ,29.36㎡ / 約8.88坪,,1LDK,洋 4.4　LDK 8.9, 南東,,,,空有　1万9800円,,　,,,無,1ヶ月,,無,,無,4000円,無,有 ジェイリース　初回保証料：賃料等総額の７０％　月額保証料：６００円※契約者や条件によっては、内容が変更になる場合があります。,,有、15000円、2年、火災（例）※契約者や条件によっては、内容が変更になる場合があります。,無,退去時清掃費用（税別）：4万5000円,,定額水道料：2900円 / 月町内会費：100円 / 月,,2年,,巡回,,ＳＲＣ,,,地上12階建,10階部分,2000[H12]年10月,空家,即時　,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＢＳ端子　 ＣＳ　 カウンターキッチン　 洗面所　 洗面台　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 防犯カメラ　 火災報知機　,,退去時実費精算保証会社要加入短期解約違約金有り（２年未満賃料半月分・１年未満賃料１ヵ月分）退去時清掃代４５，０００円＋税「バイク・電動キックボード」の駐輪は禁止,代理,,"
"
5,99291876,2022年12月06日,2022年12月20日,福岡市早良区西新５丁目1-17  mapを見る,アルファコンフォート福岡西新  607,福岡市空港線西新駅 徒歩3分 駅までmap 福岡市空港線唐人町駅 徒歩19分 駅までmap 福岡市空港線藤崎駅 徒歩9分 駅までmap ,20.67㎡ / 約6.25坪,,1K,, 北,,,,無,,　,,,無,2ヶ月,,無,,1万円,,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,オゾン消毒費：1万8000円,,,,2年,,,,ＳＲＣ,,,地上14階建,6階部分,1992[H4]年5月,空家,相談　,都市ガス　 エアコン　 バス・トイレ別　 冷蔵庫　 ＩＨクッキングヒーター　 洗面所　 洗面台　 洗濯機置場　 フローリング　 照明器具付き　 ２面バルコニー　 エレベーター　 宅配ボックス　 駐輪場　 24時間セキュリティ　,角部屋　,,貸主,,"
"
3.7,98940179,2022年12月05日,2022年12月19日,福岡市博多区千代５丁目１６－７  周辺mapを見る,ヴィヴァーチェ千鳥橋  201,福岡市箱崎線千代県庁口駅 徒歩11分 福岡市箱崎線馬出九大病院前駅 徒歩13分 鹿児島本線吉塚駅 徒歩19分 ,21㎡ / 約6.35坪,,ワンルーム,, 東,,,,無,,　,,,無,無,,無,,無,1000円,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,鉄骨造,,,地上2階建,2階部分,1991[H3]年7月,空家,相談　2022年6月27日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ同　 シャワー　 ＣＡＴＶ　 洗濯機置場　 バルコニー　 駐輪場　 インターネット使い放題　,,濃い木目調でお部屋がシックな印象になります！バルコニーの日差しと風通しもよくお洗濯物もよく乾きそうですね。,専任媒介,,"
"
1.9,99103257,2022年12月05日,2022年12月19日,福岡市東区下原４丁目7-40  mapを見る,ヴィクトリー・モア九産大前  208,鹿児島本線九産大前駅 徒歩11分 駅までmap ,16.7㎡ / 約5.05坪,,1K,,無,,,,無,,　,,,無,無,,無,,無,3000円,無,有 確認ください（全保連　月額合計100％ジェイリース　月額合計80％日本セーフティ　月額合計80％～100％）※契約者や条件によっては、内容が変更になる場合があります。,,有、17000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,シード24：840円 / 月口座振替料：400円 / 月共益費：3000円 / 月,,1年,,巡回,,木造,,,地上2階建,2階部分,1989[H1]年2月,居住中,相談　,プロパンガス　 エアコン　 トイレ　 収納スペース　 洗濯機置場　 ロフト　 フローリング　 ＴＶモニタ付きインターホン　 駐輪場　 シューズボックス　 敷地内ゴミ置き場　,ペット相談可　 二人入居可　 閑静住宅街　 角部屋　 事務所使用可　 最上階　,退去時クリーニング：38000円,代理,,"
"
5,99305902,2022年12月05日,2022年12月19日,福岡市中央区春吉２丁目10-6  mapを見る,モントーレ天神  1105,福岡市七隈線渡辺通駅 徒歩6分 駅までmap 福岡市七隈線天神南駅 徒歩5分 駅までmap 福岡市空港線天神駅 徒歩13分 駅までmap ,内法20.3㎡ / 約6.14坪,,ワンルーム,,,,福岡市立春吉小学校　距離400ｍ,福岡市立博多中学校　距離1597ｍ,空無,,　,※建物管理会社による別管理のため要確認,,無,無,実費,無,,無,3000円,無,"有 ジェイリース株式会社（毎月保証料（1,000円）、毎年保証料（15,000円）必須）※契約者や条件によっては、内容が変更になる場合があります。",初回保証料：50％,有、17000円、2年、東京海上ミレア少額短期保険（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換費用：1万9800円契約事務手数料：5500円,,毎月保証料：1000円 / 月毎年保証料：1万5000円 / 年,,2年,,日勤,,ＳＲＣ,,,地上14階建,11階部分,1991[H3]年11月,空家,相談　,エアコン　 トイレ　 バス・トイレ別　 シャワー　 ＢＳ端子　 収納スペース　 カウンターキッチン　 ＩＨクッキングヒーター　 室内洗濯機置場　 フローリング　 バルコニー　 オートロック　 宅配ボックス　 駐輪場　 オール電化　 タンク式電気給湯器　 エレベーター2基以上　 シューズボックス　 敷地内ゴミ置き場　,ペット不可　 分譲タイプ　 フロントサービス　,分譲タイプ★★毎月保証料にはお部屋トラブル緊急駆付けサービスと口座振替手数料が含まれています★☆町内会費300円（月額）は建物管理会社より半年に1回ご請求させて頂きます☆【初期費用】 家賃・共益費・毎月保証料 鍵交換代　　　１9，8００円（税込）  火災保険料　　（２年）１７，０００円　（※月額支払いに変更可） 契約事務手数料　５，５００円（税込）※仲介業者様へご請求させていただきます。 保証会社保証料　ジェイリース　初回保証料：月額賃料等の５０％　毎月保証料：１，０００円　毎年保証料：１５，０００円　 【特約事項】  短期解約違約金　2年未満1ヶ月、1年未満2ヶ月  退去時クリーニング代　　３３，０００円（税込）故意・過失実費精算AD交渉も可能です！（AD＝200の場合、礼金0ヶ月→1ヶ月に変更になります。）是非ご紹介の程宜しくお願い致します★,貸主,原口,"
										TEL：092-534-6805
"
6.5,99308347,2022年12月06日,2022年12月20日,福岡市博多区祇園町4-3  周辺mapを見る,チサンマンション祇園  303,福岡市空港線祇園駅 徒歩4分 鹿児島本線博多駅 徒歩10分 福岡市空港線博多駅 徒歩11分 ,41.11㎡ / 約12.44坪,,2DK,和 6･4.5　DK 6,,,,,無,,　,,,2ヶ月,無,敷引 2ヶ月,無,,無,,無,有 全保連【保証料：月額総賃料の１００％】※契約者や条件によっては、内容が変更になる場合があります。,,有、15000円、2年、借家人賠償付火災（例）※契約者や条件によっては、内容が変更になる場合があります。,11000円 ,消毒代：1万1000円,,２４時間安心サポート：880円 / 月,,2年,,,,ＲＣ,,,地上11階建,3階部分,1980[S55]年10月,空家,即時　,都市ガス　 給湯　 トイレ　 バス・トイレ別　 洗面所　 洗面台　 室内洗濯機置場　 バルコニー　 エレベーター　 駐輪場　,分譲タイプ　 外観タイル張り　,,専任媒介,,"
"
3.4,99306099,2022年12月05日,2022年12月19日,福岡市中央区平尾３丁目22-36  mapを見る,ハイビレッジ平尾  102,福岡市七隈線薬院大通駅 徒歩9分 駅までmap 福岡市七隈線薬院駅 徒歩10分 駅までmap 西鉄天神大牟田線薬院駅 徒歩10分 駅までmap ,18㎡ / 約5.45坪,,ワンルーム,洋8,,,,,空無　1万1000円,,　,,,無,無,,無,,2000円,,無,,,有※契約者や条件によっては、内容が変更になる場合があります。,,,,安心サポート：880円 / 月保険：1000円 / 月町費：200円 / 月,,2年,,,,木造,,,地上2階建,1階部分,2002[H14]年1月,居住中,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 洗濯機置場　 ロフト　 フローリング　 バルコニー　 ＴＶモニタ付きインターホン　 インターネット使い放題　 ＣＡＴＶインターネット　 敷地内ゴミ置き場　,,退去時清掃代25000円(税別）,一般媒介,,"
"
2,99266493,2022年12月05日,2022年12月07日,福岡市南区井尻２丁目40-26-1  mapを見る,野花コーポＡ  201,鹿児島本線笹原駅 徒歩7分 駅までmap 西鉄天神大牟田線井尻駅 徒歩9分 駅までmap ,壁芯19㎡ / 約5.75坪,,1K,洋6／Ｋ2.5,,,福岡市立宮竹小学校　距離933ｍ,福岡市立三筑中学校　距離1076ｍ,無,,　,,,無,1ヶ月,実費,無,,無,無,400円,有 全保連他（その他、応相談可！）※契約者や条件によっては、内容が変更になる場合があります。,月額賃料の50%、契約時の条件により異なります。,有、全保連他（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料11000円 ,事務手数料：1万1000円鍵交換費：2万2000円,,保証委託関連費：1990円 / 月,,2年,,巡回,,木造,,,地上2階建,2階部分,1986[S61]年3月,空家,相談　,プロパンガス　 エアコン　 トイレ　 バス・トイレ別　 シャワー　 収納スペース　 ガスコンロ設置可　 フローリング　,角部屋　 事務所使用可　 最上階　 高齢者相談　,JRにも西鉄にもアクセスしやすい立地！JRにも西鉄にもアクセスしやすい立地となります。周辺にお店も多数有り。,代理,,"
										TEL：092-409-8787
										メールアドレス：izc05543@nifty.com
"
5.9,99312905,2022年12月05日,2022年12月19日,福岡市城南区東油山１丁目8-未定  mapを見る,仮称 プレステージ城南区東油山  406,油山団地口バス停 徒歩1分 ,31.13㎡ / 約9.42坪,,1LDK,ＬＤＫ8.6／洋3.2, 東,,,,空有　7700円,自走（平置きも含む）,　,,,無,無,実費,無,,無,4000円,無,有 スマート保証※契約者や条件によっては、内容が変更になる場合があります。,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,,,,トーマスclub：880円 / 月,,2年,,,,ＲＣ,,,地上5階建,4階部分,2023[R5]年2月（新築）,未完成,予定　2023年2月下旬,プロパンガス　 冷房　 暖房　 エアコン　 給湯　 追焚機能　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 収納スペース　 システムキッチン　 カウンターキッチン　 洗面台　 室内洗濯機置場　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　 インターネット対応　 シューズボックス　 敷地内ゴミ置き場　,ペット相談可　 小型犬可　 猫可　,■ペット飼育条件■・礼金１ヶ月追加・小型犬もしくは猫1匹のみ・飼養細則・誓約書内容を遵守できる方のみ・無断飼育発覚時は無断飼育違約金として賃料1ヶ月分(破損汚損等の補修費別途実費)■短期解約違約金■12ヶ月未満は賃料2ヶ月・24ヶ月未満は賃料1ヶ月■注意事項■・町費未定・入居開始日や内装仕様など工事内容の変更に伴い、事前告知なく変更が生じる場合がございます（R4.12.5 工事遅延に伴い、入居開始時期が2月上旬から下旬へ変更となりました）,代理,,"
"
3,99318615,2022年12月05日,2022年12月19日,福岡市東区箱崎４丁目37-17  mapを見る,シティベール明石  202,福岡市箱崎線箱崎九大前駅 徒歩16分 駅までmap 福岡市箱崎線箱崎宮前駅 徒歩12分 駅までmap 福岡市箱崎線馬出九大病院前駅 徒歩23分 駅までmap ,内法20㎡ / 約6.05坪,,ワンルーム,洋11,,,,,空無,,　,,,無,無,実費,無,,無,8000円,無,"有 株式会社Casa（更新10,000円/年　引落手数料550円/月）※契約者や条件によっては、内容が変更になる場合があります。","20,000円",有、16000円、2年、ジャパン少額短期保険（例）※契約者や条件によっては、内容が変更になる場合があります。,,鍵交換費用：1万6500円,,,,2年,,,,木造,,,地上2階建,2階部分,1987[S62]年9月,空家,即時　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ガスコンロ設置可　 洗濯機置場　 ロフト　 バルコニー　,ペット不可　 保証人不要　,"・事務手数料11,000円（税込）・短期違約金は1年未満の解約は総賃料の2ヶ月分、1年以上2年未満の解約は総賃料1ヶ月分・故意過失実費精算及び退去時清掃費用として33,000円（税込）・退去通知1か月前",専任媒介,,"
"
6.4,99286881,2022年12月06日,2022年12月20日,福岡市博多区博多駅南１丁目５－１３  mapを見る,ラフィネス博多駅南  902,鹿児島本線博多駅 徒歩7分 駅までmap 福岡市空港線東比恵駅 徒歩14分 駅までmap 福岡市空港線博多駅 徒歩7分 駅までmap ,24.56㎡ / 約7.43坪,,2K,洋4.5／洋3.5, 南東,,,,無,,　,,,無,1ヶ月 / 6.4万円,,無,,無,3300円,無,,,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上14階建,9階部分,2006[H18]年4月,空家,相談　2022年10月24日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 バス・トイレ別　 シャワー　 ＢＳ端子　 ＣＳ　 シャンプードレッサー　 室内洗濯機置場　 浴室乾燥機　 フローリング　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 インターネット使い放題　,,博多駅徒歩7分の好立地★★コンビニもスーパーも近いのでとても住みやすいです！,専任媒介,,"
"
5.2,99302412,2022年12月05日,2022年12月19日,福岡市東区馬出２丁目4-25  mapを見る,スカイヒルズ九大前  402,福岡市箱崎線馬出九大病院前駅 徒歩2分 駅までmap ,壁芯30㎡ / 約9.08坪,,1K,洋9, 南東,,,,空有　8800円,,　,,,無,1.5ヶ月,実費,無,,無,3000円,無,無,,有※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万9800円ルームケアプラス：3万8500円Wi-Fiポート設定：5500円退去時クリーニング代：3万3000円,,水町費：2500円 / 月プラスライフ24：990円 / 月浄水器リース代：1100円 / 月,,1年,,,,鉄骨造,,,地上12階建,4階部分,2002[H14]年2月,空家,相談　,都市ガス　 冷房　 暖房　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 収納スペース　 システムキッチン　 洗面所　 洗面台　 シャンプードレッサー　 洗濯機置場　 室内洗濯機置場　 フローリング　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 ２口コンロ　 防犯カメラ　,ペット不可　 日当り良好　 閑静住宅街　 角部屋　 外観タイル張り　,,専任媒介,,"
"
4.4,99309227,2022年12月06日,2022年12月20日,福岡市博多区博多駅前４丁目24-1  mapを見る,シティハウス博多  405,鹿児島本線博多駅 徒歩10分 西鉄バス:住吉4丁目バス停 徒歩1分 駅までmap ,33.08㎡ / 約10.01坪,,1LDK,10x洋6, 南西,,,,無,,　,,,2ヶ月,無,,無,,無,,無,有 全保連 初回保証委託料 選択式(50％ or 100％)※契約者や条件によっては、内容が変更になる場合があります。,,有※契約者や条件によっては、内容が変更になる場合があります。,無,更新手数料（更新時）：1万1000円カギ交換費用（契約時）：1万3200円,,あんしんサービス会費（月額）：1980円 / 月,,2年,,,,ＲＣ,,,地上7階建,4階部分,1980[S55]年12月,空家,相談　,都市ガス　 電気　 上水道　 エアコン　 給湯　 トイレ　 ＣＡＴＶ　 洗面台　 洗濯機置場　 バルコニー　 エレベーター　 オートロック　,分譲タイプ　 角部屋　 事務所使用可　,・敷金0ヶ月プランあり(家賃3500円UP) ・和室→洋室へ改装済!角部屋! ・交通、買い物便利です!,代理,,"
"
11,98805030,2022年12月06日,2022年12月20日,福岡市東区香椎浜４丁目７－４  mapを見る,ネクサス香椎４号棟  203,鹿児島本線香椎駅 徒歩15分 駅までmap 香椎線香椎神宮駅 徒歩12分 駅までmap 鹿児島本線千早駅 徒歩9分 駅までmap ,80.28㎡ / 約24.28坪,,3LDK,洋4.9／洋7.6／和6／ＬＤＫ16.1, 南,,,,無,,　,,,1ヶ月 / 11万円,2ヶ月 / 22万円,,無,,無,無,無,,,有、22000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上4階建,2階部分,1989[H1]年3月,空家,相談　2022年10月31日,都市ガス　 電気　 上水道　 下水道　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 システムキッチン　 室内洗濯機置場　 フローリング　 オートロック　 駐輪場　 ２口コンロ　 独立洗面脱衣所　,分譲タイプ　 南向き　,郵便局・香椎浜のイオンも徒歩圏内にありますので何かと便利です！今だ根強い人気がありますネクサスシリーズですので、ご連絡はお早めが良いかと思います！,専任媒介,,"
"
14.5,99302273,2022年12月06日,2022年12月20日,福岡市早良区百道浜３丁目３－６  mapを見る,シーサイドももちヴェルデコート６番館  906,福岡市空港線藤崎駅 徒歩10分 百道中央公園西口バス停 徒歩1分 駅までmap 福岡市空港線西新駅 徒歩16分 駅までmap ,94.47㎡ / 約28.58坪,,3LDK,ＬＤＫ20.9／和6／洋6.4／洋4.3, 南,,,,空有,,　,,,1ヶ月 / 14.5万円,2ヶ月 / 29万円,,無,,無,無,無,,,有、22000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＳＲＣ,,,地上14階建,9階部分,1991[H3]年7月,空家,相談　,都市ガス　 電気　 上水道　 下水道　 給湯　 シャワー　 ＣＡＴＶ　 システムキッチン　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 ２口コンロ　 独立洗面脱衣所　,分譲タイプ　 南向き　,90平米を越える広さに日当り・風通し良好な物件です！シーサイドももちシリーズなので建物の構造もしっかりしてますね♪♪一度は住んでみたいまち”百道浜”住環境が整っており、ワンランク上の上質空間です！駐車場の空きについては要確認,専任媒介,,"
"
6.5,99315184,2022年12月06日,2022年12月20日,福岡市博多区吉塚２丁目１８－１０  周辺mapを見る,シャーメゾンＡＫＩ  102,鹿児島本線吉塚駅 徒歩7分 福岡市箱崎線千代県庁口駅 徒歩18分 福岡市箱崎線馬出九大病院前駅 徒歩24分 ,40㎡ / 約12.10坪,,1LDK,ＬＤＫ10／洋6, 南西,,,,空有　7700円,,　,,,無,2ヶ月 / 13万円,,無,,無,3500円,無,,,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,鉄骨造,,,地上2階建,1階部分,2004[H16]年10月,居住中,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 ガスコンロ設置可　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 バルコニー　 専用庭　 ＴＶモニタ付きインターホン　 駐輪場　 インターネット使い放題　 独立洗面脱衣所　,ペット相談可　,駐車場の空きについては要確認,専任媒介,,"
"
9,98822777,2022年12月06日,2022年12月20日,福岡市早良区城西１丁目１－３１  mapを見る,グローバルマンション  501,福岡市空港線西新駅 徒歩5分 城西１丁目バス停 徒歩3分 駅までmap 福岡市空港線唐人町駅 徒歩16分 駅までmap ,56.7㎡ / 約17.15坪,,3LDK,洋5／洋6／和6／ＬＤＫ8, 南東,,,,空有　1万6500円,,　,,,無,1ヶ月 / 9万円,,無,,無,5000円,無,,,有、22000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上5階建,5階部分,1987[S62]年11月,空家,相談　2022年7月29日,都市ガス　 電気　 上水道　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 駐輪場　 ２口コンロ　 独立洗面脱衣所　 防犯カメラ　,,３口コンロ付きのキッチン、広いバルコニーも魅力的ですね。角部屋なので日当たりも良好です。西新駅徒歩5分の好立地。周辺にはスーパー・コンビニ・ドラックストアなど便利な施設がたくさんあります。駐車場の空きについては要確認,専任媒介,,"
"
3.5,99305659,2022年12月05日,2022年12月19日,福岡市南区桧原７丁目27-3  mapを見る,シティベール桧原  102,鬼の木団地バス停 徒歩1分 ,38㎡ / 約11.50坪,,1LDK,,無,,,,空無　5000円,,　,,,無,無,,無,,無,4000円,無,有 確認ください（全保連：月額合計100％ジェイリース：月額合計80％日本セーフティー：月額合計80％～100）※契約者や条件によっては、内容が変更になる場合があります。,,有、17000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万6500円,,共益費：4000円 / 月町費：350円 / 月シード24：840円 / 月口座振替手数料：400円 / 月,,1年,,,,木造,,,地上2階建,1階部分,1987[S62]年4月,空家,即時　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 収納スペース　 ガスコンロ設置可　 洗面所　 ロフト　 フローリング　 インターネット使い放題　 納戸　 浴室に窓　,,退去時クリーニング：35000円,代理,,"
"
3.2,99303291,2022年12月06日,2022年12月20日,福岡市東区若宮４丁目2-37  mapを見る,GODDESS  304,鹿児島本線千早駅 徒歩13分 駅までmap ,20.25㎡ / 約6.13坪,,1K,洋7.0・K2.0, 南西,,,,無,,　,,,無,3.2万円,,無,,無,3000円,無,有 【株式会社JACCS】[初回保証料1万円]【株式会社Casa】[初回保証料]賃料等合計額の50％(最低保証料2万円)。[年間保証料]1万円。※契約者や条件によっては、内容が変更になる場合があります。,,有、2年、当社指定（例）※契約者や条件によっては、内容が変更になる場合があります。,0.5ヶ月 ,カギ交換費用：1万7600円,,,,2年,,,,ＲＣ,,,地上4階建,3階部分,1996[H8]年4月,空家,期日指定　2022年12月10日上旬,都市ガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 ＣＡＴＶ　 ＢＳ端子　 洗濯機置場　 バルコニー　 オートロック　,,駐車場：無しお問合せ番号 971239-304 / 町会費300円（月額） / 保険料800円（月額） / 保険:800円/月,貸主,,"
"
6.8,99310789,2022年12月06日,2022年12月20日,福岡市東区千早５丁目３２－１８  周辺mapを見る,レガーロ千早  804,鹿児島本線千早駅 徒歩8分 西日本鉄道貝塚線香椎宮前駅 徒歩1分 鹿児島本線香椎駅 徒歩9分 ,30.03㎡ / 約9.08坪,,1LDK,ＬＤＫ7.8／洋3.4, 南,,,,空無,,　,,,無,1ヶ月 / 6.8万円,,無,,無,5500円,無,,,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上11階建,8階部分,2015[H27]年3月,空家,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 追焚機能　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＢＳ端子　 ＣＳ　 ウォークインクローゼット　 システムキッチン　 シャンプードレッサー　 室内洗濯機置場　 浴室乾燥機　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 出窓　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,ペット相談可　 猫可　 南向き　,駐車場の空きについては要確認,専任媒介,,"
"
6.6,99158594,2022年12月06日,2022年12月20日,福岡市博多区博多駅前１丁目28-33  mapを見る,アルファコンフォート博多  1102,福岡市空港線博多駅 徒歩8分 駅までmap 福岡市空港線祇園駅 徒歩5分 駅までmap 福岡市箱崎線呉服町駅 徒歩14分 駅までmap ,20.83㎡ / 約6.30坪,,ワンルーム,, 南,,,,空有　2万円,,　,,,無,2ヶ月,,無,,2万5000円,,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,給湯料：5000円オゾン消毒費：1万8000円,,,,2年,,,,ＲＣ,,,地上11階建,11階部分,1996[H8]年2月,空家,相談　,エアコン　 ボイラー式給湯システム　 ＢＳ端子　 ＣＳ　 室内洗濯機置場　 洗濯乾燥機　 フローリング　 照明器具付き　 バルコニー　 エレベーター　 駐輪場　 24時間セキュリティ　,,,貸主,,"
"
12.6,99311176,2022年12月06日,2022年12月20日,福岡市博多区博多駅南２丁目１４－２８  周辺mapを見る,アミティエ博多駅南  710,鹿児島本線博多駅 徒歩11分 駅南２丁目バス停 徒歩2分 福岡市空港線東比恵駅 徒歩17分 ,66.01㎡ / 約19.97坪,,3LDK,, 南東,,,,空有　1万7600円,,　,,1万6000円,無,無,,無,,無,5000円,無,,,有、22000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＳＲＣ,,,地上13階建,7階部分,2003[H15]年2月,居住中,相談　,都市ガス　 電気　 上水道　 下水道　 給湯　 トイレ　 バス・トイレ別　 シャワー　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,,駐車場の空きについては要確認,専任媒介,,"
"
4.6,99316575,2022年12月06日,2022年12月20日,福岡市南区高宮２丁目１－２０  mapを見る,コンドミニアム高宮通り壱番館  402,西鉄天神大牟田線高宮駅 徒歩5分 高宮２丁目バス停 徒歩2分 駅までmap 西鉄天神大牟田線大橋駅 徒歩24分 駅までmap ,20.9㎡ / 約6.32坪,,1K,洋7.1, 南西,,,,空無,,　,,,無,1ヶ月 / 4.6万円,,無,,無,無,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上8階建,4階部分,1999[H11]年1月,居住中,相談　,都市ガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 ２口コンロ　 インターネット使い放題　,,駅も近く、立地もおすすめです！トイレと一緒ですが、独立洗面台もあります！駐車場の空きについては要確認,専任媒介,,"
"
