家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先,市区
4.5,99318706,2022年12月05日,2022年12月19日,福岡市中央区天神３丁目  mapを見る,サン・ミリオン天神  302,福岡市空港線天神駅 徒歩5分 駅までmap ,壁芯25.2㎡ / 約7.62坪,nan,1DK,洋,nan,nan,大名　距離600ｍ,舞鶴　距離1900ｍ,無,nan,　,nan,nan,無,1ヶ月,実費,無,nan,無,2000円,無,有 全保連/Jリース※契約者や条件によっては、内容が変更になる場合があります。,50％～100％,有、15000円、2年、ニッセイ同和あいおい損保（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換費：1万6200円,nan,２４時間安心サポート：880円 / 月水道代：2500円 / 月,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上5階建,4階部分,1980[S55]年1月,居住中,予定　2023年1月下旬,都市ガス　 エアコン　 給湯　 バス・トイレ同　 シャワー　 ガスコンロ設置可　 バルコニー　 エレベーター　 駐輪場　 押入れ　,ペット不可　 日当り良好　,天神まで歩いて行けます！事務所使用相談可,専任媒介,松本,"
										TEL：080-3957-2382
",中央
6.2,99314797,2022年12月05日,2022年12月19日,福岡市中央区今川１丁目12-26(仮)  mapを見る,（仮）今川１丁目AP  201,福岡市空港線唐人町駅 徒歩5分 駅までmap 福岡市空港線西新駅 徒歩15分 駅までmap 福岡市空港線大濠公園駅 徒歩16分 駅までmap ,内法24.09㎡ / 約7.29坪,nan,ワンルーム,洋9.4,nan,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月,実費,無,nan,無,3000円,無,有 ジェイリース※契約者や条件によっては、内容が変更になる場合があります。,初回保証料60％,有、18000円、2年、日本共済（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料22000円 ,nan,nan,２４時間サポート：660円 / 月,nan,2年,nan,巡回,nan,木造,nan,nan,地上3階建,2階部分,2023[R5]年3月（新築）,未完成,予定　2023年3月下旬,プロパンガス　 エアコン　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 ＢＳ端子　 収納スペース　 システムキッチン　 室内洗濯機置場　 浴室乾燥機　 フローリング　 バルコニー　 オートロック　 ＴＶモニタ付きインターホン　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 全居室フローリング　 インターネット対応　 光ファイバー　 シューズボックス　,ペット不可　 角部屋　 事務所使用可　,"※物件のお問い合わせは下記担当者携帯までご連絡下さい。FAX番号:(092)707-7099入居時消毒代16,500円（税込）退去時クリーニング代　38,500円（税込）短期解約違約金　1年未満1ヶ月",一般媒介,松森,"
										TEL：080-8592-6749
",中央
6.9,99317607,2022年12月06日,2022年12月20日,福岡市中央区赤坂３丁目４－３１  周辺mapを見る,ガーデンコートけやき  602,福岡市七隈線六本松駅 徒歩11分 赤坂３丁目バス停 徒歩1分 福岡市空港線赤坂駅 徒歩14分 ,31.28㎡ / 約9.46坪,nan,1DK,ＤＫ7.5／洋4.6, 北東,nan,nan,nan,空有　1万9800円,nan,　,nan,nan,無,無,nan,無,nan,無,5000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上10階建,6階部分,1995[H7]年1月,居住中,相談　,電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＢＳ端子　 システムキッチン　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,ペット相談可　 猫可　,駐車場の空きについては要確認,専任媒介,nan,"
",中央
6.8,99287369,2022年12月05日,2022年12月19日,福岡市中央区大宮２丁目5-20  mapを見る,グランフォーレ平尾ステーションプラザⅠ  702,西鉄天神大牟田線西鉄平尾駅 徒歩2分 駅までmap 福岡市七隈線薬院駅 徒歩12分 駅までmap 西鉄平尾駅バス停 徒歩1分 ,29.31㎡ / 約8.87坪,nan,ワンルーム,nan,nan,nan,nan,nan,空無,nan,　,nan,nan,無,1ヶ月,nan,無,nan,5000円,無,無,有 日本セーフティー（初回総賃料40％～）※契約者や条件によっては、内容が変更になる場合があります。,nan,有※契約者や条件によっては、内容が変更になる場合があります。,旧賃料22000円 ,退去時清掃代：5万5000円,nan,安心サポート：1500円 / 月,nan,2年,nan,巡回,nan,ＲＣ,nan,nan,地上11階建,7階部分,2014[H26]年3月,空家,即時　,都市ガス　 冷房　 暖房　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 収納スペース　 システムキッチン　 洗面所　 洗面台　 シャンプードレッサー　 洗濯機置場　 室内洗濯機置場　 フローリング　 バルコニー　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　 玄関収納　,ペット不可　 日当り良好　 分譲タイプ　 眺望良好　 保証人不要　,AL・エレベーター・宅配ボックスあり。設備充実の分譲賃貸です。当社の空室資料はこちらからダウンロードできます。 ＩＤ、ＰＡＳＳは直接ご連絡下さい！！ 【ゼロ不動産管理ホームページ】 http://www.zerokanri.co.jp/trader/index.html 【初期費用】 鍵交換代：20000円（税別） 消毒代　：12500円（税別）保証会社：初回40％～事務手数料：12000円（税別）安心サポート：1500円（月額）安心サポート入会料：5000円（初回）,代理,nan,"
",中央
3.0,99318927,2022年12月06日,2022年12月20日,福岡市中央区地行１丁目5-8  mapを見る,ウィングメモリー  402,福岡市空港線唐人町駅 徒歩5分 駅までmap 福岡市七隈線六本松駅 徒歩23分 駅までmap ,25.08㎡ / 約7.59坪,nan,1DK,nan,nan,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月,nan,無,nan,無,3000円,無,有 Ｊリース・全保連・日本セーフティー・ニッポンインシュア　その他相談※契約者や条件によっては、内容が変更になる場合があります。,nan,有、18000円、2年、火災（例）※契約者や条件によっては、内容が変更になる場合があります。,10000円 ,nan,nan,水道料：2700円 / 月町費：300円 / 月２４時間サポート：660円 / 月,nan,2年,nan,巡回,nan,ＲＣ,nan,nan,地上4階建,4階部分,1991[H3]年3月,居住中,相談　,都市ガス　 冷房　 暖房　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 収納スペース　 洗面台　 洗濯機置場　 フローリング　 バルコニー　,事務所使用可　 最上階　 高齢者相談　,nan,代理,中村,"
										TEL：092-551-7722
",中央
4.3,99271041,2022年12月05日,2022年12月19日,福岡市中央区高砂２丁目11-28  mapを見る,JGM平尾  401,西鉄天神大牟田線西鉄平尾駅 徒歩8分 駅までmap 福岡市七隈線渡辺通駅 徒歩16分 駅までmap 西鉄天神大牟田線高宮駅 徒歩18分 駅までmap ,壁芯23.47㎡ / 約7.10坪,nan,ワンルーム,洋5, 南東,nan,福岡市立高宮小学校　距離671ｍ,福岡市立高宮中学校　距離787ｍ,無,nan,　,nan,nan,無,無,実費,無,nan,無,無,無,有 ジェイリース（50％プランの場合、更新手数料10.000円円/年）※契約者や条件によっては、内容が変更になる場合があります。,初回保証委託料は月額総賃料の 50％ or 80%,有、20000円、2年、SBI日本少額短期保険（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,くらしーど24：935円 / 月,nan,2年,nan,巡回,nan,ＲＣ,nan,nan,地上7階建,4階部分,1991[H3]年2月,空家,即時　,エアコン　 トイレ　 バス・トイレ同　 シャワー　 温水洗浄便座　 ウォークインクローゼット　 ＩＨクッキングヒーター　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 オール電化　 防犯カメラ　 全居室フローリング　 全居室収納　 シューズボックス　 敷地内ゴミ置き場　,ペット不可　 分譲タイプ　 角部屋　 フリーレント（1ヶ月）　 内装リフォーム　,"・１年未満の解約は賃料２ヶ月分、１年以上２年未満の解約は賃料１ヶ月分の違約金あり。・退去時清掃代30,000円（税別）・更新事務手数料15,000円（税別）・事務手数料8,800円(税込）★初期費用５万円パック内訳・1ヶ月フリーレント（賃料・共益費のみ）・火災保険料（初回2年間分20,000円）・保証委託料（初回50％）・入居時鍵交換代※申込から3週間以内の契約開始が条件となります。",専任媒介,和田,"
										TEL：080-3257-6552
										メールアドレス：info@goodliving-jpn.co.jp
",中央
2.5,99256421,2022年12月05日,2022年12月19日,福岡市中央区荒戸１丁目13-8  mapを見る,コーポふじ  202,福岡市空港線大濠公園駅 徒歩6分 駅までmap 福岡市空港線唐人町駅 徒歩11分 駅までmap 福岡市空港線赤坂駅 徒歩18分 駅までmap ,17.3㎡ / 約5.23坪,nan,ワンルーム,nan,nan,nan,nan,nan,無,nan,　,nan,nan,無,無,nan,無,nan,無,無,無,有 確認ください（全保連：月額合計100％ジェイリース：月額合計80％日本セーフティー：月額合計80％～100）※契約者や条件によっては、内容が変更になる場合があります。,nan,有、17000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万6500円,nan,町費：300円 / 月シード24：840円 / 月口座振替手数料：400円 / 月,nan,2年,nan,nan,nan,木造,nan,nan,地上2階建,2階部分,1981[S56]年10月,空家,即時　,都市ガス　 エアコン　 給湯　 トイレ　 収納スペース　 ガスコンロ設置可　 洗濯機置場　 室内洗濯機置場　 納戸　,角部屋　 最上階　,退去時クリーニング：25000円,代理,nan,"
",中央
2.6,99163763,2022年12月06日,2022年12月20日,福岡市中央区地行２丁目11-14  周辺mapを見る,ジュネス今川 ,福岡市空港線西新駅 徒歩10分 今川橋バス停 徒歩4分 福岡市空港線唐人町駅 徒歩11分 ,19.8㎡ / 約5.99坪,nan,1K,洋 9,nan,nan,nan,nan,nan,nan,　,nan,nan,無,1ヶ月,nan,無,nan,無,2000円,300円,nan,nan,有、15000円、2年、家財（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,定期借家,2年,nan,巡回,nan,木造,nan,nan,地上2階建,2階部分,1990[H2]年4月,空家,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 収納スペース　 ガスコンロ設置可　 室内洗濯機置場　 フローリング　 バルコニー　 駐輪場　,閑静住宅街　 角部屋　,閑静な住宅街です。バス・トイレ別。西短、専門学校近く。,専任媒介,nan,"
										TEL：092-801-7007
",中央
11.0,99258312,2022年12月06日,2022年12月20日,福岡市中央区赤坂１丁目１５－１５  mapを見る,平和台ハイツ  405,福岡市空港線赤坂駅 徒歩4分 平和台通りバス停 徒歩3分 駅までmap 福岡市空港線大濠公園駅 徒歩10分 駅までmap ,53.76㎡ / 約16.26坪,nan,2LDK,洋5.1／洋5.7／ＬＤＫ9.7, 南,nan,nan,nan,空無,nan,　,nan,nan,無,2ヶ月 / 22万円,nan,無,nan,無,3000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上9階建,4階部分,1978[S53]年5月,空家,相談　,都市ガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 システムキッチン　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 ＴＶモニタ付きインターホン　 駐輪場　 ２口コンロ　 独立洗面脱衣所　,リノベーション　 南向き　,大通りから１歩入ったところにあるのでとても静かな環境で過ごせますよ！全戸南向きです！駐車場の空きについては要確認,専任媒介,nan,"
",中央
2.6,99034215,2022年12月06日,2022年12月20日,福岡市中央区地行３丁目18-3  周辺mapを見る,モントーレアネックス地行  305,福岡市空港線西新駅 徒歩11分 車3分 今川橋バス停 徒歩5分 福岡市空港線唐人町駅 徒歩14分 ,20㎡ / 約6.05坪,nan,ワンルーム,洋 7.5,nan,nan,nan,nan,無,nan,　,nan,nan,無,無,nan,無,nan,無,2000円,300円,nan,nan,有、15000円、2年、家財（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,水道料：2800円 / 月,定期借家,2年,nan,巡回,nan,ＲＣ,nan,nan,地上3階建,3階部分,1988[S63]年1月,空家,相談　,都市ガス　 エアコン　 給湯　 バス・トイレ同　 シャワー　 ＣＡＴＶ　 収納スペース　 フローリング　 バルコニー　 駐輪場　,最上階　,人気物件空き出ました。Ｊ－ｃｏｍ４０ＭＷｉ－Ｆｉ対応インターネット無料,専任媒介,nan,"
										TEL：092-801-7007
",中央
7.9,99315185,2022年12月06日,2022年12月20日,福岡市中央区長浜３丁目１６－６  mapを見る,モントーレ　セントラルベイスタイル  1006,福岡市空港線大濠公園駅 徒歩13分 港１丁目バス停 徒歩6分 駅までmap 福岡市空港線赤坂駅 徒歩14分 駅までmap ,30.24㎡ / 約9.15坪,nan,1LDK,ＬＤＫ8.8／洋2.5, 北東,nan,nan,nan,空無,nan,　,nan,nan,無,2ヶ月 / 15.8万円,nan,無,nan,無,4000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上12階建,10階部分,2014[H26]年2月,居住中,相談　,都市ガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 ウォークインクローゼット　 カウンターキッチン　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 出窓　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,nan,駐車場の空きについては要確認,一般媒介,nan,"
",中央
4.3,99298184,2022年12月05日,2022年12月19日,福岡市中央区薬院３丁目9-1  mapを見る,ラグナガーデン薬院  202,西鉄天神大牟田線薬院駅 徒歩6分 駅までmap 福岡市七隈線薬院駅 徒歩6分 駅までmap 福岡市七隈線薬院大通駅 徒歩7分 駅までmap ,壁芯18.46㎡ / 約5.58坪,nan,1K,nan, 南西,nan,nan,nan,無,nan,　,nan,nan,無,無,nan,無,nan,無,3000円,無,有 加入要※契約者や条件によっては、内容が変更になる場合があります。,nan,有、16000円、2年、加入要（例）※契約者や条件によっては、内容が変更になる場合があります。,nan,鍵交換代：1万6500円室内消毒代（任意）：1万1000円,nan,24時間緊急サポート：800円 / 月町費：200円 / 月,nan,2年,nan,巡回,nan,木造,nan,nan,地上2階建,2階部分,2004[H16]年9月,空家,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 収納スペース　 室内洗濯機置場　 ロフト　 フローリング　 バルコニー　 ＴＶモニタ付きインターホン　 駐輪場　 バイク置場(屋外）　 シューズボックス　,ペット不可　,"・短期解約違約金（1年未満：賃料２ヶ月、2年未満：賃料1ヶ月）・24時間緊急サポート料：月額800円・鍵交換代（税別）：15,000円・室内消毒代（任意・税別）：10,000円・火災保険料：16,000円/2年・保証会社：要加入・契約更新事務手数料（税別）：10,000円/2年・照明1基はサービス設置品です。",専任媒介,nan,"
",中央
4.0,99260638,2022年12月06日,2022年12月20日,福岡市中央区天神５丁目9-2  mapを見る,ファミール天神  507,福岡市空港線天神駅 徒歩5分 駅までmap ,17.99㎡ / 約5.44坪,nan,1K,洋 6　K 1,nan,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月,nan,無,nan,無,nan,無,nan,nan,有※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上10階建,5階部分,1980[S55]年2月,空家,相談　,エアコン　 給湯　 バス・トイレ同　 シャワー　 フローリング　 バルコニー　 エレベーター　 オートロック　 コインランドリー　,分譲タイプ　,nan,専任媒介,nan,"
",中央
4.8,99276624,2022年12月06日,2022年12月20日,福岡市中央区鳥飼１丁目４－４８  周辺mapを見る,グローバルゲート大濠  801,福岡市空港線西新駅 徒歩14分 福岡市空港線唐人町駅 徒歩14分 福岡市七隈線別府駅 徒歩14分 ,24.42㎡ / 約7.39坪,nan,1K,洋6.2, 北西,nan,nan,nan,空有　1万6500円,nan,　,nan,nan,無,無,nan,無,nan,無,3500円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上10階建,8階部分,2006[H18]年1月,空家,相談　2022年9月30日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 シャンプードレッサー　 室内洗濯機置場　 浴室乾燥機　 フローリング　 照明器具付き　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,nan,駐車場の空きについては要確認,専任媒介,nan,"
",中央
8.9,99275619,2022年12月06日,2022年12月20日,福岡市中央区警固２丁目2-9  周辺mapを見る,Ｇｒａｎｄ　Ｅ’ｔｅｒｎａ福岡警固（グランエターナ福岡警固）  1405号室,福岡市七隈線薬院大通駅 徒歩8分 福岡市空港線赤坂駅 徒歩9分 西鉄天神大牟田線薬院駅 徒歩13分 ,40.54㎡ / 約12.26坪,nan,1LDK,洋 3.5　LDK 12.5,nan,nan,nan,nan,空有　1万9800円,nan,　,nan,nan,無,2ヶ月,nan,無,nan,3000円,無,無,有 必須加入　全保連※契約者や条件によっては、内容が変更になる場合があります。,nan,有、13000円、2年、火災（例）※契約者や条件によっては、内容が変更になる場合があります。,15000円 ,nan,nan,町費：400円 / 月,nan,2年,nan,巡回,nan,ＲＣ,nan,nan,地上14階建,4階部分,2011[H23]年3月,空家,即時　,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ウォークインクローゼット　 システムキッチン　 カウンターキッチン　 ＩＨクッキングヒーター　 洗面台　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 モニター付きオートロック　 宅配ボックス　,法人契約希望　,法人契約希望,一般媒介,nan,"
",中央
5.8,99314211,2022年12月05日,2022年12月19日,福岡市中央区天神３丁目15-25  mapを見る,リファレンス天神  805,福岡市空港線天神駅 徒歩5分 駅までmap 西鉄天神大牟田線西鉄福岡（天神）駅 徒歩8分 駅までmap 福岡市七隈線天神南駅 徒歩12分 駅までmap ,24.94㎡ / 約7.54坪,nan,1K,nan, 東,nan,福岡市立舞鶴小学校　距離787ｍ,福岡市立舞鶴中学校　距離796ｍ,無,nan,　,nan,nan,無,2ヶ月,実費,無,nan,無,4000円,無,有 コマーシュ福岡（更新料：なし　学生プラン有り）※契約者や条件によっては、内容が変更になる場合があります。,初回のみ月額総賃料の60％,有、18000円、2年、全管協共済会（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料22000円 ,ネット初回登録料：3850円アイテムセット：3万円,nan,水道代：3300円 / 月口座振替手数料：400円 / 月,nan,2年,nan,巡回,nan,ＲＣ,nan,nan,地上10階建,8階部分,2006[H18]年3月,居住中,相談　（12/18退去予定）,プロパンガス　 冷房　 暖房　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＢＳ端子　 ＣＳ　 収納スペース　 ウォークインクローゼット　 システムキッチン　 洗面所　 洗面台　 洗濯機置場　 室内洗濯機置場　 フローリング　 照明器具付き　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 コインランドリー　 24時間換気システム　 バイク置場(屋外）　 バイク駐輪場（大型可）　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　 全居室フローリング　 インターネット対応　 シューズボックス　 全室照明付　 室内物干機　 来客用パーキング　 敷地内ゴミ置き場　,ペット相談可　 小型犬可　 フリーレント（1ヶ月）　,"ネット無料！超好立地★天神ど真ん中物件です！！ネット無料で小型犬飼育相談可！ペット飼育時：1匹5,000円／月※小型犬2匹まで飼育可またこの他初期費用減額プランもございます！詳しくは担当：西下(にしした)迄お問い合わせ下さい！※写真は805号室のものです。現況を優先といたします。",貸主,西下（にしした）,"
										TEL：080-3904-1614
",中央
6.9,99203620,2022年12月06日,2022年12月14日,福岡市中央区小笹３丁目15-28  mapを見る,エメラルドマンションエクストラ小笹  103,福岡市七隈線桜坂駅 徒歩26分 駅までmap 小笹バス停 徒歩6分 福岡市七隈線薬院大通駅 徒歩33分 駅までmap ,内法55.53㎡ / 約16.80坪,nan,3LDK,ＬＤＫ12.3／洋6／洋5.5／洋5, 南東 6.76㎡,nan,福岡市立小笹小学校　距離1126ｍ,福岡市立平尾中学校　距離898ｍ,無,nan,　,nan,nan,無,2ヶ月,実費,無,nan,無,無,無,有 オリコフォレントインシュア※契約者や条件によっては、内容が変更になる場合があります。,"初回保証料：30,000円 , 月額保証料：2%",有、22000円、2年、全管協共済会（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料20000円 ,鍵交換代：1万6500円,nan,住まいの安心窓口：880円 / 月,nan,2年,nan,巡回,nan,ＲＣ,nan,nan,地上3階建,1階部分,1983[S58]年9月,空家,即時　,都市ガス　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 収納スペース　 床下収納　 システムキッチン　 洗面所　 洗面台　 シャンプードレッサー　 洗濯機置場　 室内洗濯機置場　 バルコニー　 ＴＶモニタ付きインターホン　 駐輪場　 24時間セキュリティ　 ２口コンロ　 独立洗面脱衣所　 全居室フローリング　 シューズボックス　 ３口コンロ以上　 敷地内ゴミ置き場　,ペット不可　 日当り良好　 閑静住宅街　 分譲タイプ　 外観タイル張り　 内装リフォーム　 リノベーション　 眺望良好　,フルリノベーション物件です！新品の水回り,代理,明和不動産管理,"
										TEL：092-401-3311
",中央
3.9,97430952,2022年12月05日,2022年12月19日,福岡市中央区六本松１丁目7-26  mapを見る,大濠スパークルハイツ  201,福岡市七隈線六本松駅 徒歩7分 駅までmap 福岡市空港線大濠公園駅 徒歩19分 駅までmap 福岡市七隈線桜坂駅 徒歩14分 駅までmap ,26.5㎡ / 約8.02坪,nan,2K,Ｋ2／和6／洋5,nan,nan,福岡市立草ケ江小学校　距離701ｍ,福岡市立城西中学校　距離1286ｍ,空無,nan,　,nan,nan,無,1ヶ月 / 3.9万円,実費,無,nan,無,nan,300円,有 ふれんず宅建保証・賃貸保証CIZ（条件によって金額は異なります。）※契約者や条件によっては、内容が変更になる場合があります。,25000円～,有、17000円、2年、エイ・ワン少額短期保険（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料10000円 ,鍵交換費用：1万7600円消毒費用：1万1000円,nan,自転車：1000円 / 年,nan,2年,nan,nan,nan,木造,nan,nan,地上2階建,2階部分,1968[S43]年10月,空家,即時　,都市ガス　 冷房　 トイレ　 バス・トイレ別　 収納スペース　 フローリング　,ペット不可　 事務所使用可　 高齢者相談　,"都心に近い生活便利地です！店舗及び事務所使用の場合には条件が変更となります。●家賃42,000円（税別）●礼金2ヶ月分●敷金4ヶ月分●保証料、火災保険は　条件により価格が変更となります。",専任媒介,nan,"
",中央
4.0,99294239,2022年12月05日,2022年12月19日,福岡市中央区鳥飼１丁目4-42  mapを見る,第７共立ビル  805号室,福岡市空港線唐人町駅 徒歩16分 駅までmap 福岡市七隈線別府駅 徒歩14分 駅までmap 福岡市七隈線六本松駅 徒歩15分 駅までmap ,壁芯21.73㎡ / 約6.57坪,nan,1DK,洋6／ＤＫ6, 南,nan,nan,nan,無,nan,　,nan,nan,無,無,実費,無,nan,無,2000円,410円,有 全保連※契約者や条件によっては、内容が変更になる場合があります。,nan,有、2年、借家人賠責保険（例）※契約者や条件によっては、内容が変更になる場合があります。,nan,nan,nan,nan,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上9階建,8階部分,1985[S60]年1月,空家,即時　,都市ガス　 エアコン　 バス・トイレ同　 ＣＡＴＶ　 収納スペース　 ＩＨクッキングヒーター　 室内洗濯機置場　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 インターネット使い放題　 全居室フローリング　,日当り良好　 角部屋　,AD高くお支払いします。お問い合わせください。,貸主,藤本,"
										TEL：093-953-6606
",中央
6.5,99278953,2022年12月05日,2022年12月19日,福岡市中央区平尾４丁目4-22  mapを見る,ウインステージ平尾  502,西鉄天神大牟田線西鉄平尾駅 徒歩6分 駅までmap 福岡市七隈線薬院駅 徒歩15分 駅までmap 西鉄天神大牟田線薬院駅 徒歩15分 駅までmap ,壁芯28㎡ / 約8.47坪,nan,ワンルーム,洋, 北西,nan,nan,nan,空無,nan,　,nan,nan,無,無,実費,無,nan,無,3000円,無,"有 エポス（毎年10,000円の継続保証料が掛かります。）※契約者や条件によっては、内容が変更になる場合があります。",50%+1%,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料22000円 ,nan,nan,町費：300円 / 月,nan,2年,nan,巡回,nan,ＲＣ,nan,nan,地上13階建,5階部分,2013[H25]年2月,空家,即時　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＢＳ端子　 ＣＳ　 収納スペース　 システムキッチン　 洗面所　 洗面台　 シャンプードレッサー　 洗濯機置場　 室内洗濯機置場　 浴室乾燥機　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　 全居室フローリング　 インターネット対応　 光ファイバー　 全居室収納　 シューズボックス　 敷地内ゴミ置き場　,ペット相談可　 小型犬可　 猫可　 分譲タイプ　 保証人不要　,ペット飼育相談可！！礼金が0になりました★ペット（小型犬・猫）飼育相談可のお部屋が募集スタート！！インターネット無料で連帯保証人も不要です♪♪,専任媒介,甲斐,"
",中央
5.1,99275672,2022年12月06日,2022年12月20日,福岡市中央区今川２丁目6-29  mapを見る,オリオンハイム西新  0705,福岡市空港線西新駅 徒歩5分 駅までmap 福岡市空港線唐人町駅 徒歩11分 駅までmap 福岡市七隈線別府駅 徒歩19分 駅までmap ,24.95㎡ / 約7.55坪,nan,1K,洋8.5, 南,nan,南当仁小学校　距離700ｍ,当仁中学校　距離1900ｍ,無,nan,　,nan,nan,無,無,nan,無,nan,3300円,nan,無,有 保証会社利用必須※契約者や条件によっては、内容が変更になる場合があります。,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,20000円 ,鍵交換代（入居時）：1万6500円,nan,住まいの安心窓口：880円 / 月,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上9階建,7階部分,1996[H8]年8月,空家,即時　,都市ガス　 電気　 上水道　 エアコン　 給湯　 バス・トイレ別　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　,角部屋　 南向き　,敷金礼金不要!インターネット月額利用料無料!　角部屋!室内洗濯機置場、出窓、TVインターホン、バス・トイレ別、エアコン、クローゼット、バルコニー☆スーパーまで481m、コンビニまで341m! [その他設備] ガスコンロ可、出窓、クローゼット、24時間緊急対応,専任媒介,nan,"
",中央
